Country,Median Household Income ,Median per-capita Income,Population 2020
Luxembourg,52493,18418,625978
Norway,51489,19308,5421241
Sweden,50514,18632,10099265
Australia,46555,15026,25499884
Denmark,44360,18262,5792202
United States,43585,15480,331002651
Canada,41280,15181,37742154
South Korea,40861,11950,51269185
Kuwait,40854,7487,4270571
Netherlands,38584,14450,17134872
New Zealand,35562,12147,4822233
Hong Kong,35443,9705,7496981
Austria,34911,12284,9006398
Japan,33822,10840,126476461
Germany,33333,14098,83783942
Taiwan,32762,6882,23816775
Singapore,32360,7345,5850342
United Kingdom,31617,12399,67886011
France,31112,12445,65273511
Israel,30364,7847,8655535
Belgium,26703,10189,11589623
Qatar,26555,5117,2881053
Slovenia,25969,8656,2078938
Ireland,25085,8048,4937786
Saudi Arabia,24980,4762,34813871
Bahrain,24693,4778,1701575
Finland,24615,15725,5540720
Czech Republic,22913,7821,10708981
Spain,21959,7284,46754778
Malta,21141,6869,441543
Italy,20085,6874,60461826
Cyprus,18242,4932,1207359
Greece,17777,6086,10423054
Slovakia,17415,5455,5459642
Croatia,16231,5177,4105267
Portugal,16186,5519,10196709
Poland,15338,4578,37846611
Belarus,15085,5236,9449323
Argentina,14432,4109,45195774
Lebanon,13004,2960,6825445
Estonia,12577,5031,1326535
Hungary,12445,4493,9660351
Lithuania,12375,4719,2722289
Iran,12046,3115,83992949
Russia,11724,4129,145934462
Mexico,11680,2900,128932753
Montenegro,11519,3123,628066
Azerbaijan,11446,2430,10139177
Venezuela,11299,2328,28435940
Malaysia,11207,2267,32365999
Ukraine,11074,3876,43733762
Latvia,10461,4000,1886198
Tunisia,8966,1646,11818619
Turkey,8955,2538,84339067
Costa Rica,8929,2032,5094118
Serbia,8921,3020,8737371
Macedonia,8606,1990,2083374
Bulgaria,8487,2829,6948445
Panama,8356,2011,4314767
Jordan,8276,1550,10203134
Syria,8193,1431,17500658
Chile,8098,2040,19116201
Uruguay,7949,2488,3473730
Romania,7922,2618,19237691
Algeria,7849,1392,43851044
Brazil,7522,2247,212559417
Kazakhstan,7492,1958,18776707
Bosnia And Herzegovina,7383,2553,3280819
Albania,7314,1902,2877797
Thailand,7029,1795,69799978
Ecuador,6858,1682,17643054
Mauritania,6679,778,4649658
Morocco,6634,1135,36910560
Colombia,6544,1534,50882891
Nicaragua,6488,1173,6624554
Bolivia,6399,1403,11673021
Libya,6398,1012,6871292
Dominican Republic,6302,1623,10847910
China,6180,1786,1439323776
Paraguay,6179,1292,7132538
Mongolia,5922,1440,3278290
South Africa,5217,1217,59308690
Peru,5161,1077,32971854
Tajikistan,5137,713,9537645
Iraq,4917,617,40222493
Honduras,4848,821,9904607
El Salvador,4828,1114,6486205
Vietnam,4783,1124,97338579
Guatemala,4516,898,17915568
Moldova,4158,1329,4033963
Afghanistan,4121,378,38928346
Pakistan,4060,480,220892340
Kyrgyzstan,4034,828,6524195
Comoros,3912,598,869601
Senegal,3897,402,16743927
Armenia,3865,926,2963243
Sudan,3640,579,43849260
Botswana,3603,740,2351627
Angola,3534,720,32866272
Laos,3379,615,7275560
Sri Lanka,3242,719,21413249
Yemen,3178,400,29825964
India,3168,616,1380004385
Egypt,3111,623,102334404
Bangladesh,2819,567,164689383
Haiti,2735,627,11402528
Nepal,2718,519,29136808
Niger,2708,307,24206644
Nigeria,2667,493,206139589
Georgia,2591,734,3989167
Philippines,2401,478,109581078
Chad,2394,338,16425864
Sierra Leone,2330,233,7976983
Cambodia,2308,451,16718965
Indonesia,2199,541,273523615
Tanzania,2154,384,59734218
Republic Of The Congo,2106,416,5518087
Cameroon,2075,403,26545863
Ghana,2050,47,31072940
Dr Congo,1988,308,89561403
Mali,1983,165,20250833
Kenya,1870,402,53771296
Uganda,1775,296,45741007
Burkina Faso,1530,168,20903273
Benin,1502,237,12123200
Zambia,1501,287,18383955
Rwanda,1101,235,12952218
Madagascar,1013,205,27691018
Liberia,781,118,5057681
Burundi,673,129,11890784
Togo,571,279,8278724
