Table 5d. Adult unemployment,,,,,,
Last update: December 2012,,,,,,
,,,Adult (15+) unemployment rate,,,
,,,,,,
Country or area,Year,,Men,,Women,Source
Afghanistan,2005,,7.6,,9.5,HS
Albania,2009,a,12.2,,15.9,LFS
Algeria,2010,,8.1,,19.1,LFS
American Samoa,2000,b,4.9,,6.0,PC
Anguilla,2002,"c,d",6.3,,9.5,HS
Antigua and Barbuda,2001,,8.0,,8.8,PC
Argentina,2011,e,6.2,,8.5,LFS
Aruba,2007,,5.0,,6.5,HS
Australia,2011,d,4.9,,5.3,LFS
Austria,2011,,4.0,,4.3,LFS
Azerbaijan,2011,d,4.5,,6.4,LFS
Bahamas,2011,,13.6,,13.7,LFS
Bahrain,2004,,5.6,,20.0,LFS
Bangladesh,2009,,4.2,,7.4,LFS
Barbados,2011,,9.8,,12.5,HS
Belgium,2011,,7.1,,7.2,ELFS
Benin,2002,,0.9,,0.4,PC
Bermuda,2000,,3.1,,2.3,PC
Bhutan,2011,,1.8,,4.5,LFS
Bolivia,2009,,2.6,,4.4,HS
Bosnia and Herzegovina,2011,,26.0,,29.9,LFS
Botswana,2006,"f,g",15.3,,19.9,HS
Brazil,2009,,6.1,,11.0,LFS
Brunei Darussalam,1991,,3.7,,6.7,PC
Bulgaria,2011,,12.3,,10.0,ELFS
Burundi,1990,,0.7,,0.3,PC
Cambodia,2011,a,0.3,,0.1,SES
Cameroon,2010,h,3.1,,4.5,LFS
Canada,2011,"d,i",7.8,,7.0,LFS
Cape Verde,1990,,23.3,,22.6,PC
Cayman Islands,2008,d,3.8,,4.1,HS
Chad,1993,a,1.1,,0.3,PC
Chile,2011,,6.1,,8.7,LFS
"China, Hong Kong SAR",2011,"d,j",3.9,,2.8,LFS
"China, Macao SAR ",2011,"b,d",3.0,,2.1,LFS
Colombia,2010,h,9.1,,15.0,HS
Comoros,1991,g,21.3,,16.9,PC
Cook Islands,2001,,11.7,,14.8,PC
Costa Rica,2011,,6.0,,10.3,HS
Croatia,2011,,13.7,,13.2,ELFS
Cuba,2010,k,2.4,,2.7,HS
Cyprus,2011,,7.8,,7.7,ELFS
Czech Republic,2011,,5.8,,7.9,LFS
Denmark,2011,,7.7,,7.5,ELFS
Djibouti,2002,,54.6,,68.6,OE
Dominica,2001,,12.0,,9.5,PC
Dominican Republic,2010,,9.3,,16.4,HS
Egypt,2010,"a,d",4.9,,22.6,HS
El Salvador,2010,b,8.4,,5.1,HS
Equatorial Guinea,1983,l,27.4,,18.5,PC
Estonia,2011,m,13.1,,11.8,ELFS
Ethiopia,2006,"d,n",11.7,,22.6,HS
Faeroe Islands,2005,b,2.6,,3.9,HS
Fiji,2007,,6.4,,12.9,PC
Finland,2011,m,8.3,,7.1,LFS
France,2011,,8.8,,9.7,ELFS
Gabon,1993,,19.1,,16.1,PC
Georgia,2011,d,16.7,,13.1,HS
Germany,2011,,6.2,,5.6,LFS
Ghana,2006,a,3.5,,3.6,LSS
Gibraltar,1991,,7.7,,4.0,PC
Greece,2011,,14.9,,21.4,ELFS
Greenland,2006,,10.0,,6.7,OE
Grenada,2001,,9.6,,10.9,HS
Guadeloupe,2011,,19.1,,25.8,...
Guam,2002,"b,d",12.8,,9.8,HS
Guatemala,2011,o,2.9,,6.6,LFS
Guinea,1994,"p,o",4.6,,1.7,HS
Guyana,2011,j,17.2,,25.7,...
Haiti,1999,,6.2,,8.3,HS
Honduras,2010,,4.3,,5.6,HS
Hungary,2011,m,11.0,,10.9,LFS
Iceland,2011,q,7.8,,6.2,LFS
India,2010,"r,s",3.3,,4.3,HS
"Iran, Islamic Republic of",2008,,9.1,,16.8,HS
Iraq,2006,,16.2,,22.5,HS
Ireland,2011,,17.4,,10.6,ELFS
Isle of Man,2006,,2.8,,2.0,PC
Israel,2011,,5.6,,5.6,LFS
Italy,2011,,7.6,,9.6,ELFS
